DSIDP TDX-ORB-3-RSO+CTS-RSG_2019_066_22_00_2019_067_12_00
COMENT TerraSAR-X SST Two-Step Processing
COMENT For best results cut the orbit to the period
COMENT 22:50:00 - 10:50:00
COSPAR 2010-030A
PERIOD  70045 79251184000  70055 43281184000
INIREV 48306
OBSINF SLR n = 85
OBSINF GPC n = 11692
OBSINF GPP n = 11692
PARAMS MNA EX  EY  EZ  EXD EYD EZD BTC BTS BTD BTT BNC BNS BND BNT
QUALCO Sta_Dev_Initial_Elements = 93 103 63 mm, 231 243 172 mu/s
QUALCO RMS_Obs_Laser            = 31 mm; n = 85,  elim = 0
QUALCO RMS_Obs_GPScode          = 460 mm; n = 11107, elim = 585
QUALCO RMS_Obs_GPSphase         = 6 mm; n = 11107, elim = 585
TFRAME TT
TT-UTC 69184 ms
RFRAME CTS
MRELAT  Post Newt. IERS-2003
MNUTAT  IAU200OA compl.+off.
MPOTER  COMB-Projekt D1 + CH
MPOLUN  FERRARI77
METID   IERS-Conv. (1996)
MOTID   EOT11a, Load Love Nu
MATMOS  DTM 94bis
MALBED  No Albedo
MEPHEM  DE200/LE200
COMENT The ORBIT line marks end of the header and start of the trajectory records
 7004581591184000  2543902368 -6248254225 -1407251793 -8100244615-19832820494 73815899027      0      0   3000    0 LA 
 7004581621184000  2518091343 -6304273380 -1185070516 -9103873221-17509077576 74291382765      0      0   3000    0 LA 
 7004581651184000  2489299125 -6353284783  -961585176-10087506450-15161428598 74685189659      0      0   3000    0 LA 
 7004581681184000  2457587487 -6395220718  -737041524-11049958132-12792546635 74996854460      0      0   3000    0 LA 
 7004581711184000  2423021711 -6430021533  -511686568-11990076279-10405135230 75226003420      0      0   3000    0 LA 
 7004581741184000  2385670480 -6457635730  -285768303-12906744892 -8001925478 75372355312      0      0   3000    0 LA 
 7004581771184000  2345605771 -6478020042   -59535426-13798885353 -5585672638 75435721197      0      0   3000    0 LA 
 7004581801184000  2302902738 -6491139500   166762939-14665457105 -3159154501 75416004966      0      0   3000    0 LA 
 7004581831184000  2257639600 -6496967500   392877518-15505459004  -725168220 75313206070      0      0   3000    0 LA 
 7004581861184000  2209897515 -6495485851   618559185-16317931223  1713475781 75127420323      0      0   3000    0 LA 
 7004581891184000  2159760462 -6486684807   843559240-17101955676  4153957847 74858837936      0      0   3000    0 LA 
 7004581921184000  2107315106 -6470563094  1067629698-17856657313  6593450334 74507744286      0      0   3000    0 LA 
 7004581951184000  2052650671 -6447127926  1290523573-18581207759  9029122029 74074521183      0      0   3000    0 LA 
 7004581981184000  1995858792 -6416395011  1511995170-19274826654 11458144466 73559645557      0      0   3000    0 WA 
 7004582011184000  1937033376 -6378388529  1731800360-19936781394 13877697404 72963685708      0      0   3000    0 WA 
 7004582041184000  1876270455 -6333141108  1949696853-20566386265 16284969022 72287297557      0      0   3000    0 WA 
 7004582071184000  1813668049 -6280693801  2165444460-21163002365 18677155120 71531227256      0      0   3000    0 WA 
 7004582101184000  1749326021 -6221096055  2378805371-21726039998 21051464585 70696314447      0      0   3000    0 WA 
 7004582131184000  1683345928 -6154405661  2589544431-22254960119 23405126981 69783489547      0      0   3000    0 WA 
 7004582161184000  1615830869 -6080688687  2797429410-22749273737 25735395568 68793769080      0      0   3000    0 WA 
 7004582191184000  1546885333 -6000019405  3002231250-23208542247 28039547942 67728255349      0      0   3000    0 WA 
 7004582221184000  1476615049 -5912480211  3203724334-23632378954 30314890430 66588136319      0      0   3000    0 WA 
 7004582251184000  1405126827 -5818161534  3401686731-24020449273 32558761977 65374682987      0      0   3000    0 WA 
 7004582281184000  1332528404 -5717161737  3595900447-24372470221 34768537008 64089247589      0      0   3000    0 WA 
 7004582311184000  1258928289 -5609586997  3786151663-24688209996 36941628389 62733261751      0      0   3000    0 WA 
 7004582341184000  1184435608 -5495551198  3972230973-24967487734 39075489568 61308234668      0      0   3000    0 LA 
 7004582371184000  1109159956 -5375175796  4153933613-25210173919 41167616745 59815752285      0      0   3000    0 LA 
 7004582401184000  1033211235 -5248589691  4331059691-25416191164 43215552444 58257476609      0      0   2000    0 LA 
 7004582431184000   956699504 -5115929081  4503414413-25585514793 45216889964 56635143399      0      0   2000    0 LA 
 7004582461184000   879734814 -4977337303  4670808298-25718172582 47169277007 54950558929      0      0   2000    0 LA 
 7004582491184000   802427057 -4832964666  4833057387-25814243624 49070418575 53205596935      0      0   2000    0 LA 
 7004582521184000   724885812 -4682968275  4989983439-25873857118 50918079004 51402196006      0      0   2000    0 LA 
 7004582551184000   647220195 -4527511850  5141414124-25897191683 52710083670 49542357868      0      0   2000    0 LA 
